1111111111111111111111111111111111111111	ec31907	1111111
b75f225159fc01dfcbc582075965aa8664ac2c35	c0577a1	ec31907
d400cf437696cd29a4ec2ae10cd046341b0fa39d	46b5d3f	c0577a1
8ccead94da51c084e21fbb738b98c36fc896d2f8	5e06115	46b5d3f
c0d3f3edd2558c91e357d545507f769a1448961c	7fccc02	5e06115
e886f1798c2dcadecc2b7a8629483bbc236adf31	37b2bfc	7fccc02
3893f7579aec7f3c6c6b00b764ab56c353945094	929de4c	37b2bfc
eee155f66d46aeab5066ef30a1169e1144de5e4b	04231dd	929de4c
595f1bcd053cc2078adfcda58dfcae11740b113c	33cf29f	04231dd
12b44aa3c21ce85e337c3f9ea34389d63d5edb45	46ece4c	33cf29f
daadae4a340fee552301161d56b9df444b9d6ea9	ea638d6	46ece4c
5053b4fdf1362d0dab0da075917a4659ce1ebed8	0000000	ea638d6
