1111111111111111111111111111111111111111	548d684	1111111
92bb296b201607f886588988549e684d4968a9f4	927cbad	548d684
4f837c076ce8f6b49516d5af74c5b27af14e3e2d	0dd659c	927cbad
080074b68008a136d511f472c44a89c18a30f89f	07f9280	0dd659c
8adce7ca22f803506a2fe4239ebe940c9350ecc1	847184e	07f9280
21f3a825e582957c55c95e5216353a5db02c52f8	15c128b	847184e
74f80a10cd7e07938b4599612aacb2b0f8226a18	03f953c	15c128b
303d3fb68a5b51153fac67796ace63adcd46a913	a5b487c	03f953c
64f27c31d7faabca4b147acb4a4c03a62fffa0e7	5012ff6	a5b487c
2a56c8ed19e1823c1363b984f22b9a6707159728	5c9486c	5012ff6
45240e2d42217e0ec2fc0d59359f271865ec39de	16ca219	5c9486c
7903a8f85bfc70052a1fd5aaeb64d0efaaad2e17	e342ba0	16ca219
b33f93cc9437941cfae3cf26634136de7bbf8de1	6aeeffc	e342ba0
06f246153716c878ff5fcd74fecf27dd50241c58	0c3016a	6aeeffc
6766f2874531b97d51c6b3cae06af004ff99ee4d	0690f77	0c3016a
e8277a328dc96be4d221773f801fbe01361c8a4a	9df49bb	0690f77
4c4a03d6bd28f1ff25a9a87a17a20203f332d8d0	f0ea46b	9df49bb
5053b4fdf1362d0dab0da075917a4659ce1ebed8	0000000	f0ea46b
