Closure	100
t	com.google.javascript.jscomp.CheckGlobalThisTest::testStaticFunction6
t	com.google.javascript.jscomp.CheckGlobalThisTest::testStaticFunction7
t	com.google.javascript.jscomp.CheckGlobalThisTest::testStaticFunction8
t	com.google.javascript.jscomp.CheckGlobalThisTest::testGlobalThis7
t	com.google.javascript.jscomp.CheckGlobalThisTest::testStaticMethod2
t	com.google.javascript.jscomp.CheckGlobalThisTest::testStaticMethod3
t	com.google.javascript.jscomp.CheckGlobalThisTest::testInnerFunction1
t	com.google.javascript.jscomp.CheckGlobalThisTest::testInnerFunction2
t	com.google.javascript.jscomp.CheckGlobalThisTest::testInnerFunction3
s	com.google.javascript.jscomp.CheckGlobalThis
