b609d7d66d180f2eb537b27f5d605d0596e096ce	6131f14	0a19aa6
9d991bcfd898a7b06239dbe1788774ba5106562b	a9efdd0	6131f14
df4a82f4fb46cc2248280c462e18f08d55a3d112	0000000	a9efdd0
df4a82f4fb46cc2248280c462e18f08d55a3d112	a9efdd0	0000000
53feb3fa56af7260e607844524b7e5a9be49ecc1	0000000	a9efdd0
53feb3fa56af7260e607844524b7e5a9be49ecc1	a9efdd0	0000000
028e01cbba9c1c7824f6c5a576a96fcacad81b61	46daa0c	0000000
e861ef34e9d88ccb0a097eec408ee2dd6b24ccea	0000000	46daa0c
3f1e047c898c9c925e1faac33bb07e1cb05d88cb	46daa0c	a9efdd0
2490507fb702a44b888984ec0df4e067953b6af2	031d785	46daa0c
9cca8c5d57210377d2a75ee2c3a60c9b16bf9a95	47851fb	031d785
